X,Y,STATION,LINE,TERMINUS,ROUTE
-71.1189060723782,42.3740292306852,Harvard,RED,N,A - Ashmont  B - Braintree  C - Alewife
-71.0861914939985,42.3624153448843,Kendall/MIT,RED,N,A - Ashmont  B - Braintree  C - Alewife
-71.1222340188617,42.396751856227,Davis,RED,N,A - Ashmont  B - Braintree  C - Alewife
-71.0769315731875,42.3842974180986,Sullivan Square,ORANGE,N,Forest Hills to Oak Grove
-71.0703382166941,42.3739081327076,Community College,ORANGE,N,Forest Hills to Oak Grove
-71.0771577074022,42.3709178729078,Lechmere,GREEN,Y,E - Lechmere
-71.1420773119877,42.3961210277462,Alewife,RED,Y,A - Ashmont  B - Braintree  C - Alewife
-71.1191142186849,42.3883204796491,Porter,RED,N,A - Ashmont  B - Braintree  C - Alewife
-71.1038251795284,42.3654399386921,Central,RED,N,A - Ashmont  B - Braintree  C - Alewife
-71.0771253381664,42.3921559126728,Assembly,ORANGE,N,Forest Hills to Oak Grove
-71.0949748136355,42.3774453994928,Union Square,GREEN,N,Union
-71.0876826533465,42.3800583322753,East Somerville,GREEN,N,Medford
-71.0973048662182,42.3881300890379,Gilman Square,GREEN,N,Medford
-71.1064822619869,42.3936153884266,Magoun Square,GREEN,N,Medford
-71.1117436104427,42.4003906621346,Ball Square,GREEN,N,Medford
-71.1177789860225,42.4087939994002,College Ave,GREEN,Y,Medford
